text,textblob_polarity,textblob_subjectivity,textblob_sentiment,transformer_sentiment,transformer_confidence,transformer_positive,transformer_negative,transformer_neutral,consensus_sentiment,sentiment_intensity
"So simple, made me cry",0.0,0.35714285714285715,neutral,positive,0.6448879241943359,0.6448879241943359,0.10996253043413162,0.24514958262443542,neutral,0.32244396209716797
"I consider myself very lucky that I'm have a close relationship with my son, we share our love of Exploring, 90s music , video games, but yep he does sometimes wear the big headphones and complains when he has to tidy up but that's Teenagers 🙂",0.3833333333333333,0.625,positive,positive,0.9489025473594666,0.9489025473594666,0.00868191383779049,0.04241548851132393,positive,0.6661179403463999
The worst christmas advert i have ever seen,-1.0,1.0,negative,negative,0.9437032341957092,0.009556945413351059,0.9437032341957092,0.0467398427426815,negative,0.9718516170978546
Great advert,0.8,0.75,positive,positive,0.9433559775352478,0.9433559775352478,0.012321287766098976,0.04432273283600807,positive,0.8716779887676239
Great advert,0.8,0.75,positive,positive,0.9433559775352478,0.9433559775352478,0.012321287766098976,0.04432273283600807,positive,0.8716779887676239
"Started off mega cheesy, then it got me 😢",-0.5,1.0,negative,negative,0.9223577976226807,0.009719627909362316,0.9223577976226807,0.06792251765727997,negative,0.7111788988113403
"Finally, something without an agenda, brung a tear to my eye",0.0,1.0,neutral,neutral,0.4036606550216675,0.3189878761768341,0.27735140919685364,0.4036606550216675,neutral,0.20183032751083374
53 year-old with a five year-old who saves my life every single day. Need I say more.,0.2142857142857143,0.35714285714285715,positive,positive,0.9302009344100952,0.9302009344100952,0.009963380172848701,0.059835679829120636,positive,0.5722433243479048
"This is what a Christmas advert should look like, should represent. Love, Dads, Sons, Mothers, daughters, family. ♥♥",0.5,0.6,positive,positive,0.9515551924705505,0.9515551924705505,0.005941040348261595,0.04250381514430046,positive,0.7257775962352753
I do not care about what any adverts message is. I have 2 separate 12 inch copies of that track in my collection. hopefully the value goes up and i make a few quid. Santa has come early.,-0.05,0.2,neutral,positive,0.5715551972389221,0.5715551972389221,0.10361863672733307,0.3248261511325836,neutral,0.3107775986194611
Oh no I voted through this one as well,0.0,0.0,neutral,neutral,0.5230900049209595,0.03384995833039284,0.4430600106716156,0.5230900049209595,neutral,0.26154500246047974
Thank you JL. Men needed this.,0.0,0.0,neutral,positive,0.9464858174324036,0.9464858174324036,0.007933932356536388,0.045580264180898666,positive,0.4732429087162018
Care to elaborate?,0.5,1.0,positive,neutral,0.8210675120353699,0.059191327542066574,0.11974106729030609,0.8210675120353699,neutral,0.6605337560176849
​ its nothing to do with Christmas plus it doesn't make any sense,0.0,0.0,neutral,negative,0.8561125993728638,0.012515818700194359,0.8561125993728638,0.1313716173171997,negative,0.4280562996864319
I'm in tears 😢 beautiful advert,0.85,1.0,positive,positive,0.9496983885765076,0.9496983885765076,0.02339884266257286,0.02690274268388748,positive,0.8998491942882538
"wow I no longer live in the UK but its the first advert that has really hit me hard, that was amazing! PR finally doing what they should do! Brilliant!!!",0.2680871212121212,0.684375,positive,positive,0.9042884111404419,0.9042884111404419,0.03405812755227089,0.06165348365902901,positive,0.5861877661762815
Music aside That kid looks petrified of his dad like he's done something wrong,-0.5,0.9,negative,negative,0.8630707859992981,0.013762105256319046,0.8630707859992981,0.12316707521677017,negative,0.681535392999649
John Lewis don’t sell records 😐,0.0,0.0,neutral,negative,0.7131392955780029,0.01665412075817585,0.7131392955780029,0.27020663022994995,neutral,0.35656964778900146
"What a beautiful video. Well done John Lewis, you made me cry 🥹",0.85,1.0,positive,positive,0.9846557378768921,0.9846557378768921,0.004818297456949949,0.010525951161980629,positive,0.9173278689384461
Thank you for portraying autism in a positive light. Too many of us are still excluded. 🫂❤️,0.3757575757575758,0.5818181818181818,positive,positive,0.7658583521842957,0.7658583521842957,0.05564282089471817,0.17849884927272797,positive,0.5708079639709357
"Manchester…early 90’s, the Hacienda, the House and Garage music scene, United started winning everything…the city was alive. . Great memories well played John Lewis",0.4666666666666666,0.6333333333333333,positive,positive,0.9730359315872192,0.9730359315872192,0.0027693675365298986,0.024194736033678055,positive,0.7198512991269429
Why did he only just find it though?,0.0,1.0,neutral,neutral,0.8215005993843079,0.02346836030483246,0.1550309956073761,0.8215005993843079,neutral,0.41075029969215393
This advert is even better that it triggers the wokesters,0.5,0.5,positive,positive,0.9107365012168884,0.9107365012168884,0.014524048194289207,0.0747394859790802,positive,0.7053682506084442
I guess Im the only one that sees this ad as nothing more than a manipulation of your mind for consumerism. Ahhhhh this makes me feel sad..its from John Lewis...I guess ill go and shop from their store...Are we so deep into this psychosis as a species that we cant even comprehend that a group of people got hired to make an ad not because they care or because its holidays but because they need to make more money this season. And all you sheep fell for it.,0.1,0.6799999999999999,neutral,negative,0.9200888276100159,0.006894899997860193,0.9200888276100159,0.07301632314920425,negative,0.510044413805008
Love the artwork in the house,0.5,0.6,positive,positive,0.962630569934845,0.962630569934845,0.006250958424061537,0.03111855313181877,positive,0.7313152849674225
Great advert. Caught the dynamic between me and my son perfectly.,0.6,0.6388888888888888,positive,positive,0.980666995048523,0.980666995048523,0.0023654319811612368,0.016967521980404854,positive,0.7903334975242615
"Yes its a shame that these relationships with parents/dads happen in the first place isnt it, it takes so much more than a sentimental record in an advert to fix all that pain though. So much more. 🙏🕊🙁",0.25,0.5833333333333333,positive,negative,0.8916822671890259,0.009125619195401669,0.8916822671890259,0.09919215738773346,negative,0.5708411335945129
Your boy's never too old for a hug,0.1,0.2,neutral,positive,0.901174008846283,0.901174008846283,0.008776996284723282,0.09004899859428406,positive,0.5005870044231415
"To be honest, I thought the son was coming out. Nearly a normal ad asides dad crying over some bull",0.18333333333333335,0.7166666666666667,positive,neutral,0.5737708210945129,0.06815887242555618,0.3580703139305115,0.5737708210945129,positive,0.37855207721392314
A couple of decades of mainstream culture pretending fathers aren't a thing.,0.0,0.0,neutral,negative,0.49679145216941833,0.02420266531407833,0.49679145216941833,0.4790058732032776,neutral,0.24839572608470917
Finally a white family representation,0.0,0.0,neutral,positive,0.6584558486938477,0.6584558486938477,0.02236773446202278,0.31917643547058105,neutral,0.32922792434692383
I loved this. Beautiful.,0.7749999999999999,0.9,positive,positive,0.9799265265464783,0.9799265265464783,0.00819812435656786,0.011875403113663197,positive,0.8774632632732391
"Sometimes the smallest gift carries the biggest truth that love never really leaves, it just finds new ways to be heard.",0.1787878787878788,0.4181818181818182,positive,positive,0.8853096961975098,0.8853096961975098,0.008821660652756691,0.10586858540773392,positive,0.5320487874926942
I love this add moved me to tears well done guys,0.5,0.6,positive,positive,0.9845091700553894,0.9845091700553894,0.006287277210503817,0.00920358020812273,positive,0.7422545850276947
Its a lovely advert but its not Christmas xx,0.5,0.75,positive,positive,0.6784117221832275,0.6784117221832275,0.13807769119739532,0.18351055681705475,positive,0.5892058610916138
Amazing ad.... Son sees who dad was....dad sees who his son is!!!!,1.0,0.9,positive,positive,0.9734737277030945,0.9734737277030945,0.0023606393951922655,0.02416563220322132,positive,0.9867368638515472
Tears fill my eyes and a warmth fills my heart every time I see this❤ Raver till i die,0.0,0.0,neutral,positive,0.9635480642318726,0.9635480642318726,0.007986684329807758,0.02846525050699711,positive,0.4817740321159363
People are crying over ts 🙏🥀,-0.2,0.6,negative,negative,0.6649806499481201,0.044790543615818024,0.6649806499481201,0.29022881388664246,negative,0.43249032497406004
Bring back snapper or edgar or moshi just my opinion,0.0,0.0,neutral,neutral,0.8423931002616882,0.09888646751642227,0.05872044712305069,0.8423931002616882,neutral,0.4211965501308441
"Have fun in your youth, dance, get lost in the moment - you’ll probably meet someone magical while doing so - and then fatherhood will (should) yank you away from adolescence, but take that fun and dancing into fatherhood and get lost in the moment 💙 A thing of absolute beauty 💙 Well done John Lewis and Saathci & Saatchi, as a father it had me in tears.",0.325,0.575,positive,positive,0.9273436665534973,0.9273436665534973,0.009452015161514282,0.06320435553789139,positive,0.6261718332767486
Looks like someone watched Aftersun not long before the big John Lewis Christmas Advert brainstorm meeting,0.0125,0.25,neutral,neutral,0.8119245767593384,0.11715907603502274,0.07091639190912247,0.8119245767593384,neutral,0.41221228837966917
"I'm 59 with a son who just turned 33. He's still my little boy, there are no words when it comes to saying how much I love him, we are really close😊",0.1708333333333333,0.43333333333333335,positive,positive,0.9821339249610901,0.9821339249610901,0.0042897434905171394,0.013576377183198929,positive,0.5764836291472117
Normalises poor communication in males and thus enables poor mental health in men.,-0.3,0.4666666666666666,negative,negative,0.8256877660751343,0.008144637569785118,0.8256877660751343,0.16616760194301605,negative,0.5628438830375672
"Christmas a time of joy and happiness, but this ad is totally depressing. 👎🏻",0.3,0.43333333333333335,positive,negative,0.7531628012657166,0.08868013322353363,0.7531628012657166,0.1581571400165558,positive,0.5265814006328583
The world is healing,0.0,0.0,neutral,positive,0.8830358386039734,0.8830358386039734,0.014343963004648685,0.1026201918721199,positive,0.4415179193019867
They didn’t play this a the raves I went to ……. Plastic,0.0,0.0,neutral,negative,0.7132967114448547,0.013664466328918934,0.7132967114448547,0.2730388045310974,neutral,0.35664835572242737
A real Xmas advert again! No forcing narratives or dei down our throats... Just a great heartfelt moment,0.22361111111111112,0.5847222222222223,positive,positive,0.9329228401184082,0.9329228401184082,0.016282932832837105,0.050794195383787155,positive,0.5782669756147597
I’m surprised we’re still allowed Christmas adverts,0.1,0.9,neutral,negative,0.8090978264808655,0.017391666769981384,0.8090978264808655,0.17351052165031433,negative,0.45454891324043273
I just became a father a few months ago and this broke me,-0.2,0.1,negative,negative,0.7810962796211243,0.021244226023554802,0.7810962796211243,0.1976594626903534,negative,0.4905481398105621
Cudda chose a better tune🎉,0.5,0.5,positive,positive,0.8685455322265625,0.8685455322265625,0.012310754507780075,0.11914372444152832,positive,0.6842727661132812
A white family in 2025???,0.0,0.0,neutral,neutral,0.7345486879348755,0.033689554780721664,0.23176166415214539,0.7345486879348755,neutral,0.36727434396743774
"46yo dad with a 16yo son. Been collecting records since 1994. Son now collects records, too. Can you see where I’m going with this? In bits every time I watch this.",0.0,0.0,neutral,neutral,0.5414024591445923,0.418116956949234,0.04048054665327072,0.5414024591445923,neutral,0.27070122957229614
Representing uk for once,0.0,0.0,neutral,positive,0.5275477766990662,0.5275477766990662,0.03846340626478195,0.4339888095855713,neutral,0.2637738883495331
"Thank you JL, for this quiet nod. I nod back; and promise to shop with you. ❤",0.0,0.16666666666666666,neutral,positive,0.9509690403938293,0.9509690403938293,0.003688331926241517,0.04534268006682396,positive,0.4754845201969147
The antidote to the final scene in Adolescence. Love it.,0.25,0.8,positive,positive,0.9519988298416138,0.9519988298416138,0.010659155435860157,0.03734201937913895,positive,0.6009994149208069
Nailed it John Lewis.,0.0,0.0,neutral,positive,0.9251394867897034,0.9251394867897034,0.0062302458100020885,0.06863021850585938,positive,0.4625697433948517
Old skool assemble 😂,0.1,0.2,neutral,neutral,0.7320461273193359,0.21887220442295074,0.049081653356552124,0.7320461273193359,neutral,0.41602306365966796
"JL nailed it, what an advert!",0.0,0.0,neutral,positive,0.9674274325370789,0.9674274325370789,0.007114950567483902,0.025457587093114853,positive,0.48371371626853943
"A lovely advert - resonates with so many families with teenagers, particularly teenage boys ❤️‍🩹👌",0.3333333333333333,0.4166666666666667,positive,positive,0.9832525253295898,0.9832525253295898,0.003125131828710437,0.013622335158288479,positive,0.6582929293314616
My mum sent this to me what does this mean 💔✌️,-0.3125,0.6875,negative,negative,0.7904176115989685,0.009567524306476116,0.7904176115989685,0.2000148445367813,negative,0.5514588057994843
"I dont understand, where are all the brown people?",0.0,0.0,neutral,negative,0.8357983231544495,0.005560337100178003,0.8357983231544495,0.1586412787437439,negative,0.41789916157722473
My dad and I bonded over how terrible this advert is and how much we HATE it,-0.9,0.95,negative,negative,0.8875462412834167,0.026167558506131172,0.8875462412834167,0.08628614246845245,negative,0.8937731206417083
"That sone is not from 1991, more 1996 1997 when dance came commercial and overground , I was dancing to it then!",0.25,0.25,positive,neutral,0.5872584581375122,0.34207683801651,0.07066471129655838,0.5872584581375122,positive,0.4186292290687561
My one of favourite 90s dance classics song❤❤❤,0.0,0.0,neutral,positive,0.9862739443778992,0.9862739443778992,0.0025962325744330883,0.011129854246973991,positive,0.4931369721889496
I'm just shocked to see white people in a commercial that's positive 🤯,-0.11818181818181817,0.33636363636363636,negative,negative,0.843230664730072,0.013448737561702728,0.843230664730072,0.14332063496112823,negative,0.4807062414559451
Let me play on your emotions to get your money. John Lewis.,0.0,0.0,neutral,neutral,0.6441224217414856,0.140798881649971,0.2150786817073822,0.6441224217414856,neutral,0.3220612108707428
Adolescence 2,0.0,0.0,neutral,neutral,0.771460771560669,0.17517389357089996,0.0533653162419796,0.771460771560669,neutral,0.3857303857803345
Absolutely love this advert,0.5,0.6,positive,positive,0.9700956344604492,0.9700956344604492,0.008918007835745811,0.02098632976412773,positive,0.7350478172302246
Better than last year's pathetic effort! ❤,-0.16666666666666666,0.5222222222222223,negative,positive,0.7404800057411194,0.7404800057411194,0.12318618595600128,0.13633374869823456,negative,0.453573336203893
In real life : a middle class family wouldn’t allow the opening of a present without everyone sitting round the tree and watching the reactions,0.0,0.17500000000000002,neutral,neutral,0.675290048122406,0.06367023289203644,0.26103976368904114,0.675290048122406,neutral,0.337645024061203
Merry Christmas JL 🎄🎅,0.0,0.0,neutral,positive,0.9554086923599243,0.9554086923599243,0.005173593759536743,0.03941773250699043,positive,0.47770434617996216
Which version of this song is this? I absolutely love it,0.5,0.6,positive,positive,0.9847553372383118,0.9847553372383118,0.004821246489882469,0.010423346422612667,positive,0.7423776686191559
"Amazing advert and well done for recognising dads. Not always easy but as a 45 year old with two and growing up early to mid 90s with the dance tunes, this really hit home. Powerful stuff ❤",0.24761904761904766,0.4904761904761905,positive,positive,0.9718286395072937,0.9718286395072937,0.005560660269111395,0.022610658779740334,positive,0.6097238435631707
"OMG, This is the best.",1.0,0.3,positive,positive,0.9858859777450562,0.9858859777450562,0.00560289341956377,0.008511184714734554,positive,0.9929429888725281
Is it me who doesn't get it or is it just as it looks... A man who had a stop his clubbing days to become a parent? Isn't that what everyone did? Im reading comments about losing a son and people crying... Am I just being really thick and not getting the hidden message?,-0.2222222222222222,0.4694444444444444,negative,negative,0.6411462426185608,0.014796800911426544,0.6411462426185608,0.34405696392059326,negative,0.4316842324203915
"Another so-called Christmas advert that omits to mention Christmas, rumours of woke's death are greatly exaggerated.",-0.5,1.0,negative,negative,0.8082496523857117,0.015272009186446667,0.8082496523857117,0.17647840082645416,negative,0.6541248261928558
I'm not crying 😭 this advert reminded me so much of my late Dad and my younger brother ❤️ well done John Lewis 👏,-0.06666666666666667,0.39999999999999997,neutral,positive,0.9705442190170288,0.9705442190170288,0.008044950664043427,0.021410856395959854,positive,0.5186054428418477
Beautiful moment. Love always lives,0.675,0.8,positive,positive,0.9779690504074097,0.9779690504074097,0.00795438140630722,0.014076522551476955,positive,0.8264845252037049
Well… that’s… just kicked me in the feels…. 😢 That’s enough internet for today,0.0,0.5,neutral,negative,0.9225702285766602,0.008616267703473568,0.9225702285766602,0.06881347298622131,negative,0.4612851142883301
The Nineties were just everything.. I miss that era so much,0.2,0.2,positive,positive,0.9172576069831848,0.9172576069831848,0.03359616920351982,0.04914619401097298,positive,0.5586288034915924
Cheers. Im crying now,-0.2,0.6,negative,negative,0.41037511825561523,0.33108779788017273,0.41037511825561523,0.25853708386421204,negative,0.3051875591278076
This had me crying. You could just feel the memories and emotions. It was so lovely❤,-0.2,0.6,negative,positive,0.9794992804527283,0.9794992804527283,0.007968178950250149,0.012532562017440796,positive,0.5897496402263641
We need more advertising like this . 😢,0.5,0.5,positive,neutral,0.43459197878837585,0.2459997683763504,0.31940823793411255,0.43459197878837585,positive,0.4672959893941879
Worst one yet so disappointed,-0.875,0.875,negative,negative,0.9335102438926697,0.010645480826497078,0.9335102438926697,0.055844251066446304,negative,0.9042551219463348
A white family in 2025????,0.0,0.0,neutral,neutral,0.6817439794540405,0.03616920858621597,0.2820868194103241,0.6817439794540405,neutral,0.34087198972702026
Reality sets in after watching this advert and it’s true Thank you John Lewis ❤❤,0.35,0.65,positive,positive,0.9453681707382202,0.9453681707382202,0.006106427405029535,0.04852544888854027,positive,0.6476840853691102
Have the left lost their minds. A father and son recognition of love whatever next?,0.16666666666666666,0.19999999999999998,positive,negative,0.7480155229568481,0.02113235555589199,0.7480155229568481,0.23085220158100128,positive,0.4573410948117574
Great ad. Charlotte Wells should be contacting her lawyers though.,0.8,0.75,positive,positive,0.6783618927001953,0.6783618927001953,0.07211669534444809,0.249521404504776,positive,0.7391809463500977
Watching adverts to watch an advert. Wild.,0.1,0.4,neutral,neutral,0.7029566764831543,0.06671582162380219,0.23032748699188232,0.7029566764831543,neutral,0.40147833824157714
I showed this to my wife but had to walk out to hide the tears. Great ad.,0.8,0.75,positive,positive,0.8727355003356934,0.8727355003356934,0.02777222730219364,0.09949226677417755,positive,0.8363677501678467
Complete rip off of After Sun,0.1,0.4,neutral,negative,0.7034841179847717,0.039398521184921265,0.7034841179847717,0.25711730122566223,neutral,0.40174205899238585
Love this. A traditional normal white family.🫶👏👏,0.1625,0.5,positive,positive,0.9775314331054688,0.9775314331054688,0.0038861529901623726,0.01858234778046608,positive,0.5700157165527344
Merry Christmas Dad,0.0,0.0,neutral,positive,0.9258872866630554,0.9258872866630554,0.007827753201127052,0.06628503650426865,positive,0.4629436433315277
Beautifully composed and speaks volumes in a world which is so uncertain today. This actually made me cry ❤,0.425,0.55,positive,positive,0.893318772315979,0.893318772315979,0.03842592611908913,0.06825525313615799,positive,0.6591593861579895
What a fantastic advert .. no words needed ❤❤,0.4,0.9,positive,positive,0.982562780380249,0.982562780380249,0.0066351392306387424,0.010802135802805424,positive,0.6912813901901245
"I've seen many ads that set out to pull at the heartstrings with bigger themes but this one is so simple and understated, yet packs the bigger punch. Brilliant!",0.3,0.5714285714285714,positive,positive,0.8822910189628601,0.8822910189628601,0.03031913749873638,0.08738982677459717,positive,0.5911455094814301
"The era of cool Christmas ads from Lewis, which everyone was looking forward to, is over.",0.35,0.65,positive,neutral,0.42092573642730713,0.2636288106441498,0.3154454231262207,0.42092573642730713,positive,0.38546286821365355
Is that all? (,0.0,0.0,neutral,neutral,0.833041250705719,0.06023522838950157,0.10672352463006973,0.833041250705719,neutral,0.4165206253528595
Big mike i get what you are saying. I lost my son barely 3 years ago after just losing my wonderful husband. It's horrible. My heart goes out to you. Never be easy Mike but my thoughts will be with you. Lynn ❤,0.09666666666666668,0.6066666666666667,neutral,negative,0.670403778553009,0.0728529617190361,0.670403778553009,0.25674331188201904,neutral,0.38353522260983786
That John Lewis advert is absolutely rubbish. No one likes it. The worst they have ever done. Is that for real. A joke. 😂😂😂,-0.20000000000000004,0.7333333333333334,negative,negative,0.9466187953948975,0.008838549256324768,0.9466187953948975,0.044542741030454636,negative,0.5733093976974487
Did he not return with the milk?,0.0,0.0,neutral,neutral,0.8251853585243225,0.01781918667256832,0.15699544548988342,0.8251853585243225,neutral,0.41259267926216125
thanx john lewis i cried as i remembered my lost son and the years we had,0.0,0.0,neutral,negative,0.4957081377506256,0.21145758032798767,0.4957081377506256,0.2928342819213867,neutral,0.2478540688753128
I think its lovely!,0.625,0.75,positive,positive,0.9729703664779663,0.9729703664779663,0.006406302563846111,0.020623277872800827,positive,0.7989851832389832
Best one they’ve done in years. More emotional for those Who never had the dad figure in your life.,0.5,0.4833333333333334,positive,positive,0.9366145133972168,0.9366145133972168,0.012183021754026413,0.05120250955224037,positive,0.7183072566986084
I'm doing my christmas shopping at John Lewis this year.,0.0,0.0,neutral,neutral,0.755454957485199,0.2255655974149704,0.018979473039507866,0.755454957485199,neutral,0.3777274787425995
The guardian hates this so much 😂😂,0.2,0.2,positive,negative,0.914459228515625,0.011546884663403034,0.914459228515625,0.07399385422468185,negative,0.5572296142578125
very poor advert nothing christmassy about this John Lewis going downhill fast postive masculinity this isnt politics,-0.16,0.69,negative,negative,0.9285869002342224,0.006888888776302338,0.9285869002342224,0.06452421844005585,negative,0.5442934501171112
"Finally, an advert that represents me and my culture, Who would have thought it in 2025. John Lewis has my back..",0.0,0.5,neutral,positive,0.9327420592308044,0.9327420592308044,0.006939615588635206,0.060318365693092346,positive,0.4663710296154022
I’m not crying. I think someone is cutting onions.,-0.25,0.75,negative,negative,0.5095180869102478,0.08595216274261475,0.5095180869102478,0.40452978014945984,negative,0.3797590434551239
"Great stuff. No box ticking or pandering, just a great British Christmas scene and message",0.5333333333333333,0.5,positive,positive,0.9595827460289001,0.9595827460289001,0.009525183588266373,0.03089205175638199,positive,0.7464580396811167
"Absolutely stunning, it stopped me in my tracks and made me cry. Beautiful advert John Lewis. 🥲❤️",0.675,1.0,positive,positive,0.9834180474281311,0.9834180474281311,0.00597285944968462,0.010609090328216553,positive,0.8292090237140656
This is a fabulous ad - on SO many levels - such an ANTIDOTE for so many of us - thanks John Lewis - you'll get some of my cash this year.,0.31999999999999995,0.54,positive,positive,0.9861874580383301,0.9861874580383301,0.0041462332010269165,0.009666329249739647,positive,0.653093729019165
Where were the doves 🕊 😉,0.0,0.0,neutral,neutral,0.7746363878250122,0.1748741716146469,0.05048944801092148,0.7746363878250122,neutral,0.3873181939125061
This is such a let down from lilly Allens video 😂,-0.07777777777777779,0.3944444444444445,neutral,negative,0.9001536965370178,0.009956445544958115,0.9001536965370178,0.08988988399505615,negative,0.48896573715739783
Absolutely brilliant,0.9,1.0,positive,positive,0.9259427785873413,0.9259427785873413,0.02040098048746586,0.05365632101893425,positive,0.9129713892936706
Absolutely brilliant,0.9,1.0,positive,positive,0.9259427785873413,0.9259427785873413,0.02040098048746586,0.05365632101893425,positive,0.9129713892936706
"?? John Lewis Christmas ads have always represented British culture. Although I do remember the one about the hibernating bear, which I guess was a stretch too far for you, I'm guessing 😂😂",0.05,0.5,neutral,positive,0.48296692967414856,0.48296692967414856,0.08641349524259567,0.43061965703964233,neutral,0.2664834648370743
In his belly.,0.0,0.0,neutral,neutral,0.8163769841194153,0.09034949541091919,0.0932735949754715,0.8163769841194153,neutral,0.40818849205970764
Sensational Advert!,0.8333333333333333,0.6666666666666666,positive,neutral,0.6941285729408264,0.29385116696357727,0.01202025543898344,0.6941285729408264,positive,0.7637309531370798
John Lewis standing up for dads like me. 99% of us love our kids just as much as Mum. I love this,0.39999999999999997,0.4666666666666666,positive,positive,0.9544482231140137,0.9544482231140137,0.008469346910715103,0.03708244860172272,positive,0.6772241115570068
